Sample Count,55

Sample No.,1
Date & Time,'2021-12-30 13:24:58
Data Type,OPC
Voc (V),39.28
Isc (A),8.918
Pmax (W),228.7857
Vpm (V),29.56
Ipm (A),7.738
EFF (%),11.768
FF,0.652
Tc (degC),15.9
Irr (W/m2),66
Nms,1
Rs (Ohm),0.9216
V (V),I (A),P (W)
24.60,4.156,102.2770
24.86,4.152,103.2562
25.12,4.149,104.2337
25.37,4.145,105.2093
25.63,4.142,106.1832
25.88,4.138,107.1554
26.14,4.135,108.1257
26.40,4.131,109.0943
26.65,4.128,110.0611
26.91,4.125,111.0261
27.17,4.121,111.9894
27.42,4.118,112.9508
27.68,4.114,113.9105
27.94,4.111,114.8685
28.19,4.107,115.8246
28.45,4.104,116.7790
28.70,4.100,117.7316
28.96,4.097,118.6824
29.22,4.093,119.6314
29.47,4.090,120.5787
29.73,4.086,121.5241
29.99,4.080,122.3829
30.24,4.072,123.1957
30.50,4.065,124.0046
30.76,4.057,124.8095
31.01,4.049,125.6104
31.27,4.042,126.4074
31.52,4.034,127.2004
31.78,4.026,127.9895
32.04,4.018,128.7746
32.29,4.011,129.5558
32.55,4.003,130.3330
32.81,3.995,131.1063
33.06,3.979,131.5873
33.32,3.928,130.9179
33.57,3.866,129.8401
33.83,3.771,127.6158
34.09,3.665,124.9589
34.34,3.531,121.2870
34.60,3.378,116.9121
34.86,3.220,112.2579
35.11,3.017,105.9617
35.37,2.825,99.9546
35.63,2.611,93.0348
35.88,2.415,86.6967
36.14,2.200,79.5244
36.39,1.983,72.2118
36.65,1.750,64.1502
36.91,1.536,56.7023
37.16,1.288,47.8981
37.42,1.083,40.5676
37.68,0.830,31.3064
37.93,0.605,22.9704
38.19,0.276,10.5670

Sample No.,29
Date & Time,'2021-12-30 14:04:54
Data Type,OPC
Voc (V),38.49
Isc (A),8.364
Pmax (W),131.8802
Vpm (V),33.20
Ipm (A),3.971
EFF (%),6.783
FF,0.409
Tc (degC),14.3
Irr (W/m2),72
Nms,1
Rs (Ohm),1.8962
V (V),I (A),P (W)
0.25,8.318,2.1350
0.51,8.273,4.2469
0.76,8.228,6.3356
1.02,8.183,8.4011
1.28,8.138,10.4435
1.53,8.093,12.4626
1.79,8.048,14.4586
2.05,8.002,16.4314
2.30,7.957,18.3811
2.56,7.912,20.3077
2.82,7.867,22.2108
3.07,7.822,24.0909
3.33,7.777,25.9478
3.59,7.732,27.7815
3.84,7.686,29.5920
4.10,7.412,30.4387
4.36,7.381,32.2035
4.61,7.366,34.0285
4.87,7.353,35.8579
5.13,7.342,37.6875
5.38,7.332,39.5173
5.64,7.322,41.3418
5.90,7.310,43.1525
6.15,7.297,44.9518
6.41,7.283,46.7298
6.67,7.260,48.4471
6.92,7.236,50.1417
7.18,7.189,51.6637
7.44,7.136,53.1164
7.69,6.986,53.7906
7.95,6.965,55.4190
8.21,6.911,56.7612
8.46,6.529,55.2970
8.72,6.222,54.2940
8.98,6.198,55.6807
9.23,6.192,57.2130
9.49,6.186,58.7420
9.75,6.179,60.2677
10.00,6.173,61.7902
10.26,6.166,63.3094
10.52,6.160,64.8253
10.77,6.154,66.3380
11.03,6.150,67.8713
11.29,6.147,69.4228
11.54,6.145,70.9731
11.80,6.142,72.5221
12.06,6.140,74.0699
12.31,6.138,75.6165
12.57,6.135,77.1619
12.83,6.133,78.7061
13.08,6.131,80.2490
13.34,6.128,81.7907
13.60,6.126,83.3312
13.85,6.123,84.8705
14.11,6.121,86.4085
14.37,6.119,87.9453
14.62,6.116,89.4809
14.88,6.114,91.0153
15.14,6.111,92.5484
15.39,6.109,94.0804
15.65,6.107,95.6111
15.91,6.104,97.1405
16.16,6.102,98.6688
16.42,6.100,100.1958
16.68,6.097,101.7187
16.93,6.091,103.1852
17.19,6.085,104.6487
17.45,6.080,106.1093
17.70,6.074,107.5668
17.96,6.068,109.0214
18.22,6.062,110.4730
18.47,6.056,111.9216
18.73,6.051,113.3672
18.99,6.045,114.8098
19.24,6.021,115.9087
19.50,5.988,116.8117
19.76,5.938,117.3568
20.01,5.880,117.7161
20.27,5.667,114.9172
20.53,5.509,113.1122
20.78,5.335,110.9230
21.04,5.155,108.4948
21.30,4.941,105.2615
21.55,4.677,100.8373
21.81,4.355,95.0086
22.07,4.305,95.0357
22.32,4.262,95.1846
22.58,4.249,95.9748
22.84,4.244,96.9616
23.09,4.240,97.9461
23.35,4.235,98.9283
23.61,4.231,99.9081
23.86,4.226,100.8856
24.12,4.222,101.8607
24.38,4.217,102.8336
24.63,4.213,103.8041
24.89,4.208,104.7722
25.15,4.204,105.7380
25.40,4.199,106.7015
25.66,4.194,107.6627
25.92,4.190,108.6215
26.17,4.185,109.5780
26.43,4.181,110.5322
26.69,4.176,111.4840
26.94,4.172,112.4335
27.20,4.167,113.3807
27.46,4.163,114.3255
27.71,4.158,115.2616
27.97,4.153,116.1897
28.23,4.148,117.1152
28.48,4.143,118.0383
28.74,4.138,118.9587
29.00,4.133,119.8766
29.25,4.128,120.7920
29.51,4.123,121.7048
29.77,4.118,122.6151
30.02,4.113,123.5228
30.28,4.108,124.4279
30.54,4.103,125.3305
30.79,4.098,126.2306
31.05,4.093,127.1281
31.31,4.088,128.0230
31.56,4.083,128.9154
31.82,4.078,129.8052
32.08,4.073,130.6925
32.33,4.068,131.5773
32.59,4.046,131.8758
32.85,4.014,131.8887
33.10,3.983,131.8856
33.36,3.925,130.9565
33.62,3.839,129.0959
33.87,3.727,126.2645
34.13,3.608,123.1624
34.39,3.451,118.7136
34.64,3.365,116.6012
34.90,3.210,112.0626
35.16,3.035,106.7447
35.41,2.863,101.4089
35.67,2.664,95.0707
35.93,2.451,88.0792
36.18,2.237,80.9664
36.44,2.050,74.7401
36.70,1.798,66.0179
36.95,1.594,58.9301
37.21,1.344,50.0271
37.47,1.092,40.9267
37.72,0.799,30.1536
37.98,0.523,19.8903
38.24,0.290,11.1252

Sample No.,30
Date & Time,'2021-12-30 14:05:17
Data Type,OPC
Voc (V),38.49
Isc (A),8.364
Pmax (W),131.8802
Vpm (V),33.20
Ipm (A),3.971
EFF (%),6.783
FF,0.409
Tc (degC),14.3
Irr (W/m2),72
Nms,1
Rs (Ohm),1.8962
V (V),I (A),P (W)
0.25,8.318,2.1350
0.51,8.273,4.2469
0.76,8.228,6.3356
1.02,8.183,8.4011
1.28,8.138,10.4435
1.53,8.093,12.4626
1.79,8.048,14.4586
2.05,8.002,16.4314
2.30,7.957,18.3811
2.56,7.912,20.3077
2.82,7.867,22.2108
3.07,7.822,24.0909
3.33,7.777,25.9478
3.59,7.732,27.7815
3.84,7.686,29.5920
4.10,7.412,30.4387
4.36,7.381,32.2035
4.61,7.366,34.0285
4.87,7.353,35.8579
5.13,7.342,37.6875
5.38,7.332,39.5173
5.64,7.322,41.3418
5.90,7.310,43.1525
6.15,7.297,44.9518
6.41,7.283,46.7298
6.67,7.260,48.4471
6.92,7.236,50.1417
7.18,7.189,51.6637
7.44,7.136,53.1164
7.69,6.986,53.7906
7.95,6.965,55.4190
8.21,6.911,56.7612
8.46,6.529,55.2970
8.72,6.222,54.2940
8.98,6.198,55.6807
9.23,6.192,57.2130
9.49,6.186,58.7420
9.75,6.179,60.2677
10.00,6.173,61.7902
10.26,6.166,63.3094
10.52,6.160,64.8253
10.77,6.154,66.3380
11.03,6.150,67.8713
11.29,6.147,69.4228
11.54,6.145,70.9731
11.80,6.142,72.5221
12.06,6.140,74.0699
12.31,6.138,75.6165
12.57,6.135,77.1619
12.83,6.133,78.7061
13.08,6.131,80.2490
13.34,6.128,81.7907
13.60,6.126,83.3312
13.85,6.123,84.8705
14.11,6.121,86.4085
14.37,6.119,87.9453
14.62,6.116,89.4809
14.88,6.114,91.0153
15.14,6.111,92.5484
15.39,6.109,94.0804
15.65,6.107,95.6111
15.91,6.104,97.1405
16.16,6.102,98.6688
16.42,6.100,100.1958
16.68,6.097,101.7187
16.93,6.091,103.1852
17.19,6.085,104.6487
17.45,6.080,106.1093
17.70,6.074,107.5668
17.96,6.068,109.0214
18.22,6.062,110.4730
18.47,6.056,111.9216
18.73,6.051,113.3672
18.99,6.045,114.8098
19.24,6.021,115.9087
19.50,5.988,116.8117
19.76,5.938,117.3568
20.01,5.880,117.7161
20.27,5.667,114.9172
20.53,5.509,113.1122
20.78,5.335,110.9230
21.04,5.155,108.4948
21.30,4.941,105.2615
21.55,4.677,100.8373
21.81,4.355,95.0086
22.07,4.305,95.0357
22.32,4.262,95.1846
22.58,4.249,95.9748
22.84,4.244,96.9616
23.09,4.240,97.9461
23.35,4.235,98.9283
23.61,4.231,99.9081
23.86,4.226,100.8856
24.12,4.222,101.8607
24.38,4.217,102.8336
24.63,4.213,103.8041
24.89,4.208,104.7722
25.15,4.204,105.7380
25.40,4.199,106.7015
25.66,4.194,107.6627
25.92,4.190,108.6215
26.17,4.185,109.5780
26.43,4.181,110.5322
26.69,4.176,111.4840
26.94,4.172,112.4335
27.20,4.167,113.3807
27.46,4.163,114.3255
27.71,4.158,115.2616
27.97,4.153,116.1897
28.23,4.148,117.1152
28.48,4.143,118.0383
28.74,4.138,118.9587
29.00,4.133,119.8766
29.25,4.128,120.7920
29.51,4.123,121.7048
29.77,4.118,122.6151
30.02,4.113,123.5228
30.28,4.108,124.4279
30.54,4.103,125.3305
30.79,4.098,126.2306
31.05,4.093,127.1281
31.31,4.088,128.0230
31.56,4.083,128.9154
31.82,4.078,129.8052
32.08,4.073,130.6925
32.33,4.068,131.5773
32.59,4.046,131.8758
32.85,4.014,131.8887
33.10,3.983,131.8856
33.36,3.925,130.9565
33.62,3.839,129.0959
33.87,3.727,126.2645
34.13,3.608,123.1624
34.39,3.451,118.7136
34.64,3.365,116.6012
34.90,3.210,112.0626
35.16,3.035,106.7447
35.41,2.863,101.4089
35.67,2.664,95.0707
35.93,2.451,88.0792
36.18,2.237,80.9664
36.44,2.050,74.7401
36.70,1.798,66.0179
36.95,1.594,58.9301
37.21,1.344,50.0271
37.47,1.092,40.9267
37.72,0.799,30.1536
37.98,0.523,19.8903
38.24,0.290,11.1252

Sample No.,31
Date & Time,'2021-12-30 14:07:08
Data Type,OPC
Voc (V),38.62
Isc (A),8.119
Pmax (W),134.5719
Vpm (V),33.31
Ipm (A),4.039
EFF (%),6.922
FF,0.429
Tc (degC),14.4
Irr (W/m2),703
Nms,1
Rs (Ohm),0.9836
V (V),I (A),P (W)
0.25,8.092,2.0837
0.51,8.064,4.1533
0.77,8.037,6.2088
1.03,8.009,8.2501
1.28,7.982,10.2772
1.54,7.954,12.2901
1.80,7.927,14.2889
2.06,7.899,16.2736
2.31,7.872,18.2440
2.57,7.844,20.2004
2.83,7.817,22.1424
3.09,7.789,24.0703
3.34,7.762,25.9844
3.60,7.734,27.8840
3.86,7.707,29.7692
4.12,7.455,30.7160
4.37,7.426,32.5100
4.63,7.408,34.3380
4.89,7.395,36.1840
5.15,7.384,38.0304
5.40,7.374,39.8795
5.66,7.365,41.7231
5.92,7.353,43.5524
6.18,7.342,45.3758
6.43,7.328,47.1804
6.69,7.315,48.9794
6.95,7.304,50.7845
7.21,7.293,52.5838
7.46,7.283,54.3930
7.72,7.274,56.1981
7.98,7.266,58.0046
8.24,7.261,59.8346
8.49,7.256,61.6620
8.75,7.251,63.4868
9.01,7.246,65.3090
9.27,7.241,67.1290
9.52,7.238,68.9638
9.78,7.235,70.7970
10.04,7.232,72.6286
10.30,7.228,74.4586
10.55,7.225,76.2870
10.81,7.222,78.1137
11.07,7.219,79.9389
11.33,7.216,81.7624
11.58,7.213,83.5876
11.84,7.210,85.4137
12.10,7.208,87.2384
12.36,7.205,89.0618
12.61,7.202,90.8837
12.87,7.200,92.7044
13.13,7.197,94.5236
13.39,7.195,96.3415
13.64,7.192,98.1580
13.90,7.189,99.9731
14.16,7.186,101.7793
14.42,7.182,103.5761
14.67,7.179,105.3709
14.93,7.175,107.1638
15.19,7.171,108.9548
15.45,7.167,110.7439
15.70,7.164,112.5311
15.96,7.160,114.3111
16.22,7.153,116.0517
16.48,7.147,117.7890
16.73,7.141,119.5231
16.99,7.134,121.2538
17.25,7.125,122.9309
17.51,7.115,124.5848
17.76,7.104,126.2334
18.02,7.080,127.6214
18.28,7.046,128.8302
18.54,6.967,129.1717
18.79,6.905,129.7981
19.05,6.785,129.2957
19.31,6.677,128.9661
19.57,6.528,127.7547
19.82,6.403,126.9617
20.08,6.255,125.6510
20.34,6.106,124.2201
20.60,5.896,121.4684
20.85,5.659,118.0366
21.11,5.465,115.4133
21.37,5.275,112.7580
21.63,5.055,109.3554
21.88,4.663,102.0830
22.14,4.378,96.9671
22.40,4.329,96.9920
22.66,4.299,97.4283
22.91,4.294,98.4139
23.17,4.288,99.3968
23.43,4.283,100.3770
23.69,4.278,101.3544
23.94,4.273,102.3291
24.20,4.267,103.3011
24.46,4.262,104.2703
24.72,4.257,105.2368
24.97,4.251,106.2006
25.23,4.246,107.1617
25.49,4.241,108.1200
25.75,4.235,109.0756
26.00,4.230,110.0284
26.26,4.225,110.9786
26.52,4.220,111.9260
26.78,4.215,112.8802
27.03,4.211,113.8573
27.29,4.207,114.8323
27.55,4.203,115.8053
27.81,4.199,116.7762
28.06,4.195,117.7450
28.32,4.191,118.7118
28.58,4.187,119.6765
28.84,4.183,120.6391
29.09,4.179,121.5997
29.35,4.175,122.5582
29.61,4.171,123.5147
29.87,4.167,124.4691
30.12,4.163,125.4214
30.38,4.159,126.3717
30.64,4.155,127.3199
30.90,4.151,128.2661
31.15,4.147,129.2101
31.41,4.142,130.1522
31.67,4.138,131.0921
31.93,4.134,132.0300
32.18,4.130,132.9658
32.44,4.118,133.6278
32.70,4.095,133.9219
32.96,4.071,134.2039
33.21,4.048,134.4738
33.47,4.002,133.9961
33.73,3.942,132.9995
33.99,3.863,131.3044
34.24,3.774,129.2808
34.50,3.627,125.1725
34.76,3.485,121.1535
35.02,3.310,115.9179
35.27,3.176,112.0698
35.53,2.902,103.1417
35.79,2.692,96.3600
36.05,2.485,89.6023
36.30,2.267,82.3186
36.56,2.038,74.5359
36.82,1.846,67.9994
37.08,1.587,58.8634
37.33,1.348,50.3602
37.59,1.077,40.5132
37.85,0.825,31.2408
38.11,0.551,20.9995
38.36,0.280,10.7605

Sample No.,32
Date & Time,'2021-12-30 14:07:33
Data Type,OPC
Voc (V),38.62
Isc (A),8.119
Pmax (W),134.5719
Vpm (V),33.31
Ipm (A),4.039
EFF (%),6.922
FF,0.429
Tc (degC),14.4
Irr (W/m2),703
Nms,1
Rs (Ohm),0.9836
V (V),I (A),P (W)
0.25,8.092,2.0837
0.51,8.064,4.1533
0.77,8.037,6.2088
1.03,8.009,8.2501
1.28,7.982,10.2772
1.54,7.954,12.2901
1.80,7.927,14.2889
2.06,7.899,16.2736
2.31,7.872,18.2440
2.57,7.844,20.2004
2.83,7.817,22.1424
3.09,7.789,24.0703
3.34,7.762,25.9844
3.60,7.734,27.8840
3.86,7.707,29.7692
4.12,7.455,30.7160
4.37,7.426,32.5100
4.63,7.408,34.3380
4.89,7.395,36.1840
5.15,7.384,38.0304
5.40,7.374,39.8795
5.66,7.365,41.7231
5.92,7.353,43.5524
6.18,7.342,45.3758
6.43,7.328,47.1804
6.69,7.315,48.9794
6.95,7.304,50.7845
7.21,7.293,52.5838
7.46,7.283,54.3930
7.72,7.274,56.1981
7.98,7.266,58.0046
8.24,7.261,59.8346
8.49,7.256,61.6620
8.75,7.251,63.4868
9.01,7.246,65.3090
9.27,7.241,67.1290
9.52,7.238,68.9638
9.78,7.235,70.7970
10.04,7.232,72.6286
10.30,7.228,74.4586
10.55,7.225,76.2870
10.81,7.222,78.1137
11.07,7.219,79.9389
11.33,7.216,81.7624
11.58,7.213,83.5876
11.84,7.210,85.4137
12.10,7.208,87.2384
12.36,7.205,89.0618
12.61,7.202,90.8837
12.87,7.200,92.7044
13.13,7.197,94.5236
13.39,7.195,96.3415
13.64,7.192,98.1580
13.90,7.189,99.9731
14.16,7.186,101.7793
14.42,7.182,103.5761
14.67,7.179,105.3709
14.93,7.175,107.1638
15.19,7.171,108.9548
15.45,7.167,110.7439
15.70,7.164,112.5311
15.96,7.160,114.3111
16.22,7.153,116.0517
16.48,7.147,117.7890
16.73,7.141,119.5231
16.99,7.134,121.2538
17.25,7.125,122.9309
17.51,7.115,124.5848
17.76,7.104,126.2334
18.02,7.080,127.6214
18.28,7.046,128.8302
18.54,6.967,129.1717
18.79,6.905,129.7981
19.05,6.785,129.2957
19.31,6.677,128.9661
19.57,6.528,127.7547
19.82,6.403,126.9617
20.08,6.255,125.6510
20.34,6.106,124.2201
20.60,5.896,121.4684
20.85,5.659,118.0366
21.11,5.465,115.4133
21.37,5.275,112.7580
21.63,5.055,109.3554
21.88,4.663,102.0830
22.14,4.378,96.9671
22.40,4.329,96.9920
22.66,4.299,97.4283
22.91,4.294,98.4139
23.17,4.288,99.3968
23.43,4.283,100.3770
23.69,4.278,101.3544
23.94,4.273,102.3291
24.20,4.267,103.3011
24.46,4.262,104.2703
24.72,4.257,105.2368
24.97,4.251,106.2006
25.23,4.246,107.1617
25.49,4.241,108.1200
25.75,4.235,109.0756
26.00,4.230,110.0284
26.26,4.225,110.9786
26.52,4.220,111.9260
26.78,4.215,112.8802
27.03,4.211,113.8573
27.29,4.207,114.8323
27.55,4.203,115.8053
27.81,4.199,116.7762
28.06,4.195,117.7450
28.32,4.191,118.7118
28.58,4.187,119.6765
28.84,4.183,120.6391
29.09,4.179,121.5997
29.35,4.175,122.5582
29.61,4.171,123.5147
29.87,4.167,124.4691
30.12,4.163,125.4214
30.38,4.159,126.3717
30.64,4.155,127.3199
30.90,4.151,128.2661
31.15,4.147,129.2101
31.41,4.142,130.1522
31.67,4.138,131.0921
31.93,4.134,132.0300
32.18,4.130,132.9658
32.44,4.118,133.6278
32.70,4.095,133.9219
32.96,4.071,134.2039
33.21,4.048,134.4738
33.47,4.002,133.9961
33.73,3.942,132.9995
33.99,3.863,131.3044
34.24,3.774,129.2808
34.50,3.627,125.1725
34.76,3.485,121.1535
35.02,3.310,115.9179
35.27,3.176,112.0698
35.53,2.902,103.1417
35.79,2.692,96.3600
36.05,2.485,89.6023
36.30,2.267,82.3186
36.56,2.038,74.5359
36.82,1.846,67.9994
37.08,1.587,58.8634
37.33,1.348,50.3602
37.59,1.077,40.5132
37.85,0.825,31.2408
38.11,0.551,20.9995
38.36,0.280,10.7605

Sample No.,33
Date & Time,'2021-12-30 14:07:56
Data Type,OPC
Voc (V),38.65
Isc (A),8.219
Pmax (W),135.8979
Vpm (V),33.23
Ipm (A),4.089
EFF (%),6.990
FF,0.427
Tc (degC),14.9
Irr (W/m2),67
Nms,1
Rs (Ohm),0.9499
V (V),I (A),P (W)
0.25,8.188,2.1102
0.51,8.157,4.2046
0.77,8.126,6.2830
1.03,8.095,8.3456
1.28,8.065,10.3923
1.54,8.034,12.4230
1.80,8.003,14.4378
2.06,7.972,16.4368
2.31,7.941,18.4198
2.57,7.910,20.3869
2.83,7.879,22.3380
3.09,7.849,24.2736
3.35,7.818,26.1929
3.60,7.787,28.0964
3.86,7.756,29.9839
4.12,7.731,31.8815
4.38,7.483,32.7852
4.63,7.464,34.6266
4.89,7.450,36.4826
5.15,7.439,38.3471
5.41,7.429,40.2075
5.66,7.419,42.0674
5.92,7.410,43.9222
6.18,7.397,45.7570
6.44,7.384,47.5790
6.70,7.366,49.3592
6.95,7.335,51.0407
7.21,7.302,52.6948
7.47,7.287,54.4681
7.73,7.274,56.2444
7.98,7.266,58.0564
8.24,7.259,59.8643
8.50,7.251,61.6682
8.76,7.245,63.4890
9.01,7.241,65.3170
9.27,7.237,67.1428
9.53,7.232,68.9664
9.79,7.228,70.7877
10.05,7.223,72.6068
10.30,7.219,74.4268
10.56,7.217,76.2598
10.82,7.214,78.0914
11.08,7.212,79.9216
11.33,7.209,81.7505
11.59,7.206,83.5781
11.85,7.204,85.4043
12.11,7.201,87.2291
12.37,7.198,89.0526
12.62,7.196,90.8748
12.88,7.193,92.6956
13.14,7.190,94.5135
13.40,7.187,96.3217
13.65,7.184,98.1282
13.91,7.180,99.9329
14.17,7.177,101.7359
14.43,7.174,103.5372
14.68,7.170,105.3368
14.94,7.167,107.1346
15.20,7.164,108.9307
15.46,7.160,110.7152
15.72,7.155,112.4811
15.97,7.150,114.2445
16.23,7.144,116.0052
16.49,7.139,117.7633
16.75,7.134,119.5188
17.00,7.128,121.2467
17.26,7.119,122.9376
17.52,7.111,124.6242
17.78,7.102,126.3065
18.03,7.087,127.8615
18.29,7.070,129.3780
18.55,7.017,130.2209
18.81,6.959,130.9206
19.07,6.886,131.3352
19.32,6.769,130.8452
19.58,6.657,130.3980
19.84,6.551,130.0101
20.10,6.401,128.6844
20.35,6.226,126.7660
20.61,6.014,123.9981
20.87,5.822,121.5387
21.13,5.635,119.0932
21.39,5.251,112.3232
21.64,5.055,109.4309
21.90,4.735,103.7371
22.16,4.452,98.6883
22.42,4.344,97.4194
22.67,4.328,98.1749
22.93,4.312,98.9221
23.19,4.296,99.6610
23.45,4.280,100.3916
23.70,4.267,101.1754
23.96,4.264,102.2004
24.22,4.261,103.2237
24.48,4.257,104.2455
24.74,4.254,105.2656
24.99,4.251,106.2841
25.25,4.248,107.3010
25.51,4.245,108.3163
25.77,4.242,109.3300
26.02,4.239,110.3421
26.28,4.236,111.3526
26.54,4.232,112.3615
26.80,4.229,113.3687
27.05,4.226,114.3744
27.31,4.223,115.3784
27.57,4.220,116.3809
27.83,4.217,117.3817
28.09,4.214,118.3809
28.34,4.211,119.3785
28.60,4.207,120.3745
28.86,4.204,121.3689
29.12,4.201,122.3617
29.37,4.198,123.3529
29.63,4.195,124.3425
29.89,4.192,125.3304
30.15,4.189,126.3168
30.41,4.186,127.3015
30.66,4.183,128.2847
30.92,4.179,129.2662
31.18,4.171,130.0660
31.44,4.160,130.8170
31.69,4.150,131.5627
31.95,4.140,132.3031
32.21,4.129,133.0382
32.47,4.119,133.7680
32.72,4.109,134.4925
32.98,4.098,135.2117
33.24,4.086,135.8566
33.50,4.022,134.7778
33.76,3.939,133.0096
34.01,3.836,130.5217
34.27,3.723,127.6139
34.53,3.586,123.8541
34.79,3.420,119.0099
35.04,3.260,114.2885
35.30,3.065,108.2199
35.56,2.860,101.7452
35.82,2.657,95.1932
36.07,2.430,87.6977
36.33,2.205,80.1436
36.59,1.965,71.9120
36.85,1.734,63.9299
37.11,1.517,56.3058
37.36,1.267,47.3808
37.62,1.035,38.9793
37.88,0.763,28.9118
38.14,0.517,19.7391
38.39,0.247,9.4905

Sample No.,34
Date & Time,'2021-12-30 14:08:15
Data Type,OPC
Voc (V),38.69
Isc (A),8.296
Pmax (W),136.7267
Vpm (V),33.12
Ipm (A),4.127
EFF (%),7.033
FF,0.425
Tc (degC),14.9
Irr (W/m2),709
Nms,1
Rs (Ohm),1.0899
V (V),I (A),P (W)
0.25,8.266,2.1325
0.51,8.235,4.2494
0.77,8.205,6.3506
1.03,8.174,8.4360
1.28,8.144,10.5057
1.54,8.113,12.5596
1.80,8.083,14.5979
2.06,8.052,16.6203
2.32,8.022,18.6270
2.57,7.991,20.6179
2.83,7.961,22.5933
3.09,7.930,24.5529
3.35,7.900,26.4966
3.61,7.869,28.4247
3.86,7.839,30.3370
4.12,7.662,31.6310
4.38,7.558,33.1493
4.64,7.534,34.9862
4.90,7.519,36.8562
5.15,7.506,38.7337
5.41,7.496,40.6127
5.67,7.486,42.4921
5.93,7.477,44.3665
6.19,7.465,46.2210
6.44,7.452,48.0692
6.70,7.434,49.8665
6.96,7.392,51.4937
7.22,7.367,53.2181
7.48,7.351,54.9973
7.73,7.339,56.8071
7.99,7.331,58.6348
8.25,7.323,60.4583
8.51,7.315,62.2848
8.77,7.311,64.1328
9.02,7.306,65.9785
9.28,7.302,67.8219
9.54,7.297,69.6629
9.80,7.293,71.5016
10.06,7.288,73.3380
10.31,7.286,75.1877
10.57,7.283,77.0378
10.83,7.280,78.8865
11.09,7.277,80.7337
11.35,7.274,82.5795
11.60,7.272,84.4238
11.86,7.269,86.2667
12.12,7.266,88.1081
12.38,7.263,89.9481
12.64,7.260,91.7867
12.89,7.257,93.6203
13.15,7.254,95.4480
13.41,7.250,97.2739
13.67,7.247,99.0981
13.93,7.244,100.9205
14.18,7.240,102.7412
14.44,7.237,104.5601
14.70,7.233,106.3773
14.96,7.230,108.1927
15.22,7.226,109.9902
15.47,7.221,111.7777
15.73,7.216,113.5626
15.99,7.211,115.3450
16.25,7.206,117.1249
16.51,7.201,118.9022
16.76,7.194,120.6468
17.02,7.186,122.3649
17.28,7.178,124.0789
17.54,7.170,125.7887
17.80,7.154,127.3602
18.05,7.136,128.8716
18.31,7.096,129.9945
18.57,7.045,130.8616
18.83,6.954,130.9746
19.09,6.812,130.0580
19.34,6.718,129.9904
19.60,6.566,128.7540
19.86,6.424,127.6176
20.12,6.272,126.2253
20.38,6.114,124.6227
20.63,5.872,121.2012
20.89,5.685,118.8147
21.15,5.476,115.8519
21.41,5.239,112.1945
21.67,4.928,106.8140
21.92,4.728,103.6824
22.18,4.389,97.3995
22.44,4.373,98.1586
22.70,4.356,98.9090
22.96,4.340,99.6509
23.21,4.323,100.3841
23.47,4.307,101.1343
23.73,4.304,102.1698
23.99,4.301,103.2037
24.25,4.298,104.2359
24.50,4.295,105.2665
24.76,4.291,106.2954
25.02,4.288,107.3227
25.28,4.285,108.3484
25.54,4.282,109.3724
25.79,4.279,110.3947
26.05,4.275,111.4154
26.31,4.272,112.4345
26.57,4.269,113.4519
26.83,4.266,114.4676
27.08,4.263,115.4817
27.34,4.259,116.4942
27.60,4.256,117.5050
27.86,4.253,118.5142
28.12,4.250,119.5217
28.37,4.247,120.5275
28.63,4.243,121.5318
28.89,4.240,122.5343
29.15,4.237,123.5352
29.41,4.234,124.5345
29.66,4.231,125.5321
29.92,4.227,126.5281
30.18,4.224,127.5224
30.44,4.221,128.5151
30.70,4.217,129.4868
30.95,4.208,130.2779
31.21,4.198,131.0641
31.47,4.188,131.8454
31.73,4.179,132.6217
31.99,4.169,133.3930
32.24,4.160,134.1594
32.50,4.150,134.9208
32.76,4.141,135.6773
33.02,4.131,136.4289
33.28,4.092,136.1839
33.53,4.032,135.2287
33.79,3.942,133.2381
34.05,3.822,130.1852
34.31,3.703,127.0886
34.57,3.548,122.6569
34.82,3.378,117.6638
35.08,3.182,111.6449
35.34,2.947,104.1634
35.60,2.751,97.9588
35.86,2.544,91.2548
36.11,2.344,84.6726
36.37,2.130,77.4829
36.63,1.920,70.3651
36.89,1.672,61.7084
37.15,1.451,53.9130
37.40,1.228,45.9744
37.66,0.970,36.5478
37.92,0.739,28.0428
38.18,0.498,19.0289
38.44,0.236,9.0933

Sample No.,35
Date & Time,'2021-12-30 14:08:43
Data Type,OPC
Voc (V),38.73
Isc (A),8.323
Pmax (W),137.4480
Vpm (V),33.19
Ipm (A),4.141
EFF (%),7.070
FF,0.426
Tc (degC),15.0
Irr (W/m2),68
Nms,1
Rs (Ohm),1.0954
V (V),I (A),P (W)
0.25,8.292,2.1414
0.51,8.260,4.2665
0.77,8.229,6.3754
1.03,8.197,8.4680
1.29,8.166,10.5445
1.54,8.134,12.6045
1.80,8.103,14.6483
2.06,8.071,16.6760
2.32,8.040,18.6872
2.58,8.008,20.6823
2.84,7.977,22.6613
3.09,7.945,24.6236
3.35,7.914,26.5701
3.61,7.883,28.5001
3.87,7.851,30.4140
4.13,7.608,31.4380
4.39,7.556,33.1749
4.64,7.539,35.0463
4.90,7.525,36.9244
5.16,7.515,38.8156
5.42,7.505,40.7016
5.68,7.495,42.5821
5.93,7.484,44.4572
6.19,7.474,46.3246
6.45,7.460,48.1662
6.71,7.443,49.9806
6.97,7.408,51.6562
