Sample Count,55

Sample No.,1
Date & Time,'2021-12-30 13:24:58
Data Type,OPC
Voc (V),39.28
Isc (A),8.918
Pmax (W),228.7857
Vpm (V),29.56
Ipm (A),7.738
EFF (%),11.768
FF,0.652
Tc (degC),15.9
Irr (W/m2),66
Nms,1
Rs (Ohm),0.9216
V (V),I (A),P (W)
24.43,7.772,189.9007
24.69,7.769,191.8285
24.95,7.764,193.7251
25.21,7.759,195.6182
25.47,7.754,197.5086
25.73,7.749,199.3965
25.99,7.744,201.2818
26.25,7.738,203.1387
26.51,7.732,204.9844
26.77,7.725,206.8268
27.03,7.719,208.6660
27.29,7.711,210.4485
27.55,7.701,212.1855
27.81,7.692,213.9174
28.06,7.677,215.5019
28.32,7.660,217.0177
28.58,7.635,218.2888
28.84,7.600,219.2742
29.10,7.566,220.2507
29.36,7.511,220.5990
29.62,7.457,220.9665
29.88,7.393,220.9767
30.14,7.313,220.4815
30.40,7.218,219.5042
30.66,7.119,218.3606
30.92,7.032,217.5198
31.18,6.932,216.2136
31.44,6.806,214.0548
31.70,6.695,212.3084
31.96,6.533,208.8634
32.22,6.398,206.2001
32.48,6.266,203.5979
32.74,6.117,200.3305
33.00,5.965,196.9010
33.26,5.803,193.0600
33.52,5.608,188.0331
33.78,5.371,181.4847
34.04,5.180,176.3993
34.30,4.951,169.8699
34.56,4.681,161.8192
34.82,4.424,154.1065
35.08,4.195,147.1958
35.34,3.926,138.8068
35.60,3.707,132.0139
35.86,3.457,124.0188
36.12,3.223,116.4516
36.38,2.951,107.4039
36.64,2.696,98.8145
36.90,2.397,88.4676
37.16,2.142,79.6293
37.42,1.870,70.0045
37.68,1.555,58.6261
37.94,1.207,45.8236
38.20,0.899,34.3480
38.46,0.612,23.5705
38.72,0.321,12.4411

Sample No.,6
Date & Time,'2021-12-30 13:31:00
Data Type,OPC
Voc (V),38.97
Isc (A),8.615
Pmax (W),222.9474
Vpm (V),29.69
Ipm (A),7.506
EFF (%),11.468
FF,0.664
Tc (degC),14.2
Irr (W/m2),729
Nms,1
Rs (Ohm),0.8929
V (V),I (A),P (W)
0.25,8.595,2.2331
0.51,8.576,4.4562
0.77,8.556,6.6692
1.03,8.537,8.8721
1.29,8.518,11.0649
1.55,8.498,13.2476
1.81,8.479,15.4202
2.07,8.459,17.5828
2.33,8.440,19.7352
2.59,8.420,21.8775
2.85,8.401,24.0097
3.11,8.382,26.1319
3.37,8.362,28.2440
3.63,8.343,30.3460
3.89,8.323,32.4378
4.15,8.304,34.5196
4.41,8.065,35.6237
4.67,8.045,37.6239
